Data,Provincia,Totale
12/06/2020,Milano,23669
11/06/2020,Milano,23581
10/06/2020,Milano,23510
09/06/2020,Milano,23483
08/06/2020,Milano,23437
07/06/2020,Milano,23408
06/06/2020,Milano,23365
05/06/2020,Milano,23306
04/06/2020,Milano,23207
03/06/2020,Milano,23176
02/06/2020,Milano,23139
01/06/2020,Milano,23094
31/05/2020,Milano,23076
30/05/2020,Milano,23044
29/05/2020,Milano,22982
28/05/2020,Milano,22908
27/05/2020,Milano,22832
26/05/2020,Milano,22764
25/05/2020,Milano,22726
24/05/2020,Milano,22680
23/05/2020,Milano,22616
22/05/2020,Milano,22528
21/05/2020,Milano,22455
20/05/2020,Milano,22372
19/05/2020,Milano,22324
18/05/2020,Milano,22222
17/05/2020,Milano,22151
16/05/2020,Milano,22041
15/05/2020,Milano,21966
14/05/2020,Milano,21900
13/05/2020,Milano,21731
12/05/2020,Milano,21626
11/05/2020,Milano,21490
10/05/2020,Milano,21376
09/05/2020,Milano,21272
08/05/2020,Milano,21094
07/05/2020,Milano,20893
06/05/2020,Milano,20771
05/05/2020,Milano,20398
04/05/2020,Milano,20254
03/05/2020,Milano,20068
02/05/2020,Milano,19950
01/05/2020,Milano,19701
30/04/2020,Milano,19337
29/04/2020,Milano,19121
28/04/2020,Milano,18837
27/04/2020,Milano,18556
26/04/2020,Milano,18371
25/04/2020,Milano,17908
